Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
BLOOMINGVILE,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,897303,897303.JPG,Стул BLOOMINGVILE,коричневый,Н40 X W40 X L40 CM,"ротанг, дерево",1,шт,7035,"Стул из ротанга, натурального цвета. ",традиционный
Dome Deco,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,F2-T12/BE,F2T12BBE.jpg,Стул Dome Deco,коричневый,,"дерево, ткань",4,шт,30975,"Кресло с подлокотниками. Каркас из натурального дерева, в коричневом цвете. Сидушка обита тканью из 100%  льна.",современный
Dome Deco,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,F2-T18/BLA,F2T18BLA.jpg,Стул Dome Deco,черный,H84  X W60 X L46 CM,"дерево, ткань",1,шт,11375,Стул обитый бархатной тканью черного цвета,современный
Dome Deco,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,F2-T24/TA,F2T24TA.jpg,Стул Dome Deco,золотой,H84 X W60 X L46 CM,"дерево, ткань",2,шт,11375,Стул обитый бархатной тканью золотого цвета.,современный
Dome Deco,"Мебель, Столовая & Кухня","Столовая & Кухня, Мебель",Стулья & Кресла,F2-T27WA/L2409Q,F2T27WAL2409Q.jpg,Стул Dome Deco,золотой,H85 X W60 X L55 CM,"дерево, ткань",2,шт,17745,"Стул обитый тканью ""Leo new"", ножки из ореха.",современный
Dome Deco,"Мебель, Столовая & Кухня","Столовая & Кухня, Мебель",Стулья & Кресла,F2-T27BR/AS4,F2T27BRAS4.jpg,Стул Dome Deco,светло-серый,H85 X W60 X L55 CM,"дерево, ткань",4,шт,15925,"Стул обитый серой тканью ""Aspen "", ножки из натурального дерева, черного цвета.",современный
Dome Deco,"Мебель, Столовая & Кухня","Столовая & Кухня, Мебель",Стулья & Кресла,F2-T27BR/AS10,F2T27BRAS10.jpg,Стул Dome Deco,серый,H85 X W60 X L55 CM,"дерево, ткань",6,шт,15470,"Стул обитый темно-серой тканью ""Aspen "", ножки из натурального дерева, черного цвета.",современный
Domicil,"Мебель, Столовая & Кухня","Столовая & Кухня, Мебель",Стулья & Кресла,CRA-CH-DMCH13-E11,,Стул Domicil,белый,,,1,шт,12600,,классика
Domicil,"Мебель, Столовая & Кухня","Столовая & Кухня, Мебель",Стулья & Кресла,ROO-CH-STUHL-D05,,Стул Domicil,разноцветный,Н93 X W60 X L50 CM,"дерево, ткань",1,шт,29172,Стул из натурального дерева вишни.Сидушка обита тканью.,классика
Domicil,"Мебель, Столовая & Кухня","Столовая & Кухня, Мебель",Стулья & Кресла,VIA-CH-AL805-E08,,Стул Domicil,"коричневый, фиолетовый ",Н95 X W55 X L49 CM,"дерево, ткань",1,шт,38150,"Стул из натурального дерева вишня, сидушка обита тканью.",классика
Jolipa,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,53834,53834.jpg,Стул Jolipa,коричневый,H79 X W51 CM,"металл, кожа",4,шт,10723,Стул с металлическими ножками. Сидушка обита кожей коричневого цвета.,современный
Jolipa,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,41355,41355.jpg,Стул Jolipa,"черный, рыжий",H44 X W38 X L38 CM,металл,2,шт,5828,Стул из металла.,традиционный
Jolipa,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,46217,46217.jpg,Стул Jolipa,черный,H79 X W51 CM,"металл, кожа",1,шт,10723,Стул с металлическими ножками. Сидушка обита кожей черного цвета.,современный
Mobex,"Мебель, Столовая & Кухня","Столовая & Кухня, Мебель",Стулья & Кресла,SCAUN,,Стул La Rochelle stf 937 Mobex,"серый, золотой",H97.5 X L48 CM,"дерево, ткань",4,шт,17150,"Стул обеденный, из натурального дерева черешни и бука. Сидушка обита велюром.",классика
Riviera Maison,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,216430,216430.jpg,Стул Riviera Maison,"коричневый, белый",H88 X W49 X L52 CM,"дерево, ротанг",9,шт,10220,Стул из натурального дуба. Сиденье сделано из ротанга.,традиционный
Rvastley,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,2103,2103.jpg,Стул Rvastley,черный,H92 X W49 X L46 CM,"дерево, ткань, металл",5,шт,13159,"Стул с ножками из натурального дерева,обитый тканью из шерсти. Дизайн, комфорт и стиль этого стула хорошо работает вокруг обеденного стола или как отдельно стоящий предмет в интерьере.",современный
Jolipa,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,57509,57509.jpg,Стул кожанный Jolipa,коричневый,H93 X W68 X L70 CM,"металл, кожа",2,шт,16317,"Кресло с металлическими ножками черного цвета. Сидушка сделана из кожи, коричневого цвета. ",современный
Durieux,"Мебель, Столовая & Кухня, Sale","Столовая & Кухня, Мебель",Стулья & Кресла,DT25/PLUMB,DT25.jpg,Стул Париж Durieux,"серый, сливовый",,,6,шт,9678,"Стул из натурального дерева, серого цвета, сидушка обита тканью из 100% натурального катона, графитового цвета.",традиционный
