Производитель,Группа товаров,Категория,Подгруппа товаров,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,M2-W8/SI,m2w8si.jpg,Зеркало DD,прозрачный,L120 X W80 X H 1.6 CM,,1,шт,18428,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M4-W4/BLA,M4W4BLA.jpg,Зеркало DD,черный,L150 X W65 X H1.8 CM,,1,шт,15593,Зеркало в черной раме,современный
DomeDeco,Декор & Разное,"Настенные, Оригинальные",Зеркала,F7-S13/DBRO,F7S13DBRO.tif,Зеркало DD (наб. из 4 шт),бронзовый,"D10 X H 14 CM, D16 X H 11 CM, D19,5 X H 9 CM, D23","металл, зеркало",6,наб,8980,Зеркало настенный декор,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-S8/GO,M2S8GO.jpg,Зеркало круглое DD,золотистый,D90 X H2 CM,"металл, зеркало",4,шт,15590,Круглое зеркало,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-A6/BRO,M2A6BRO.jpg,Зеркало круглое DD,бронзовый,D74 X H2 CM,"металл, зеркало",2,шт,18428,Круглое зеркало,современный
DomeDeco,Декор & Разное,Напольные,Зеркала,M6-S4/BLA,M6S4BLA.jpg,Зеркало на стойке с пространством сзади DD,черный,H171 X W40 X L30 CM,"металл, зеркало",1,шт,27878,Зеркало на стойке с пространством сзади,современный
DomeDeco,Декор & Разное,Настенные,Зеркала,M2-S6/GRI,M2S6GRI.jpg,Зеркало овальное DD,серый,L91 X W59 X H10,"металл, зеркало",2,шт,12285,Овальное зеркало,современный
Domicil,Декор & Разное,Настенные,Зеркала,MEI-MI-SP35/2-D12,,Зеркало DM,розовый,W150 X H220  CM,"дерево, зеркало",1,шт,58800,Зеркало в виде окна,класика
Domicil,Декор & Разное,Настенные,Зеркала,REE-MR-SP6-D05,,Зеркало DM B60|H80,,,,1,шт,25025,,класика
Domicil,Декор & Разное,Настенные,Зеркала,MEI-MI-SP35/1-D12,,Зеркало DM h151xw84 маленькое,розовый,W84 X H151 CM,"дерево, зеркало",1,шт,45150,Зеркало в виде окна,класика
Jolipa,Декор & Разное,Настенные,Зеркала,42699,42699.jpg,Зеркало  JLP,коралловый,L35.5 X H4.3 X W51.3 CM,"дерево, зеркало",1,шт,2214,,класика
Jolipa,Декор & Разное,Настенные,Зеркала,36315,36315.jpg,Зеркало JLP,черный,L76 X W61.5 X H6.5 CM,"металл, зеркало",1,шт,5128,Зеркало в металлической ажурной раме,традиционный
Jolipa,Декор & Разное,Настенные,Зеркала,44046,44046.jpg,Зеркало JLP,"натуральный, черный",L80 X H3 X W60 CM,"дерево, зеркало",1,шт,3672,,традиционный
Jolipa,Декор & Разное,Настенные,Зеркала,45115,45115.jpg,Зеркало JLP,серебряный,W70 X H120 CM,,1,шт,8858,,традиционный
Jolipa,Декор & Разное,Настенные,Зеркала,48256,48256.jpg,Зеркало JLP,белый,L47 X H4 X W61 CM,,1,шт,3846,,традиционный
Jolipa,Декор & Разное,Настенные,Зеркала,49070,49070.jpg,Зеркало JLP,бежевый,L95 X W95 CM,,2,шт,13869,,класика
Jolipa,Декор & Разное,Настенные,Зеркала,51220,51220.jpg,Зеркало JLP,белый,L72.5 X H4 X H150 CM,"металл, зеркало",1,шт,12587,Зеркало в виде окна,традиционный
Jolipa,Декор & Разное,Настенные,Зеркала,51563,51563.jpg,Зеркало JLP,черный,,"металл, зеркало",3,шт,9907,Зеркало в металлической ажурной раме,традиционный
Jolipa,Декор & Разное,Настенные,Зеркала,53829,53829.jpg,Зеркало JLP,коричневый,L120 X H2 X W60 CM,"дерево, зеркало",1,шт,8159,Зеркало в деревяной раме,традиционный
Jolipa,Декор & Разное,Настенные,Зеркала,86374,86374.jpg,Зеркало JLP,золотистый,W42 X H6 X H50 CM,,2,шт,2681,Зеркало в золотой раме,традиционный
Jolipa,Декор & Разное,"Настенные, Оригинальные",Зеркала,48745,48745.jpg,Зеркало ручное  JLP,коричневый,"19X3,8X44,5CM",,4,шт,1341,Зеркало ручное,винтаж
Jolipa,Декор & Разное,"Настенные, Оригинальные",Зеркала,51214,51214.jpg,Зеркало ручное ANT JLP,белый,"W47 X H4,5X L120 CM","дерево, зеркало",2,шт,5128,Зеркало ручное большого размера,винтаж
Jolipa,Декор & Разное,Настенные,Зеркала,51215,51215.jpg,Зеркало с заслоном JLP,белый,"W44,5 X H6,6 X L111 CM","дерево, зеркало",1,шт,10723,Зеркало с заслоном шатерсы,традиционный
Jolipa,Декор & Разное,"Настенные, Оригинальные",Зеркала,51217,51217.jpg,Зеркало ширма JLP,белый,,,2,шт,17483,Зеркало ширма,класика
Riviera Maison,Декор & Разное,Оригинальные,Зеркала,261130,261130.jpg,Зеркало RM,серебряный,W34 X L46 CM,"металл, зеркало",1,шт,8348,Зеркало с регулируемым наклоном,современный
Riviera Maison,Декор & Разное,"Настенные, Оригинальные",Зеркала,196560,,Зеркало RM,белый,,,1,шт,1313,,традиционный
Riviera Maison,Декор & Разное,"Настенные, Оригинальные",Зеркала,221770,221770_2.jpg,Зеркало RM,коричневый,D30 CM,"металл, зеркало",1,шт,1904,,традиционный
Riviera Maison,Декор & Разное,"Настенные, Оригинальные",Зеркала,185060,185060.jpg,Зеркало RM HAMPTON M,белый,W65 X L85 CM,,1,шт,12023,Зеркало в багетовой раме,традиционный
Riviera Maison,Декор & Разное,"Настенные, Оригинальные",Зеркала,185050,185050.jpg,Зеркало RM HAMPTON S,белый,W40 X L50 CM,,2,шт,6248,Зеркало в багетовой раме,традиционный
Riviera Maison,Декор & Разное,"Настенные, Оригинальные",Зеркала,226780,,Зеркало квадратное  RM,коричневый,W40 X L40 CM,"ротанг, зеркало",1,шт,3148,Зеркало в плетеной ротанговой раме,традиционный
Riviera Maison,Декор & Разное,"Настенные, Оригинальные",Зеркала,226770,,Зеркало круглое  RM,коричневый,D39 CM,"ротанг, зеркало",3,шт,3148,Зеркало в плетеной ротанговой раме,традиционный
Riviera Maison,Декор & Разное,"Настенные, Оригинальные",Зеркала,226760,,Зеркало овальное  RM,коричневый,W35 X L42 CM,"ротанг, зеркало",2,шт,3148,Зеркало в плетеной ротанговой раме,традиционный
